N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs
0.4997899007230463,[-0.00194165  0.0010333 ],9.891431378659115,[-0.18021493  0.07611666],9.716652224863333 Mpc,10.075660748884003 Mpc,9.622129412566252 Mpc,10.64194698370118 Mpc
0.9522889773225764,[-0.02672122  0.03600384],9.541292865886238,[-0.0358384   0.08570701],11.902178175741744 Mpc,11.227583133295594 Mpc,10.48562669075473 Mpc,11.233166260573467 Mpc
0.9194484771571544,[-0.0260414  0.0336873],9.528423124238413,[-0.02432644  0.05698469],11.758464079594436 Mpc,10.710443108368377 Mpc,10.36367866175663 Mpc,11.528775899009611 Mpc
0.830685553515796,[-0.02445391  0.0311325 ],9.521845408548943,[-0.01845452  0.04637836],11.364588474689878 Mpc,10.004860220634109 Mpc,10.018830410327878 Mpc,11.528775899009611 Mpc
0.8901827235609454,[-0.0251139   0.03320473],9.521042114371575,[-0.017794   0.0436685],11.629356083839218 Mpc,10.220814356343428 Mpc,10.252533410210587 Mpc,11.824385537445755 Mpc
0.978880102577298,[-0.02679599  0.03430399],9.517768845321676,[-0.01475752  0.03637698],12.002065816300915 Mpc,10.35949940357357 Mpc,10.582330143556646 Mpc,12.415604814318042 Mpc
0.4999315537966183,[-0.00168027  0.00080108],9.539138475607118,[-0.03366523  0.07392533],9.600805835273936 Mpc,8.629927223306352 Mpc,9.623038378149564 Mpc,12.711214452754186 Mpc
1.1991934734016019,[-0.0302618   0.04135831],9.517968015805495,[-0.01491408  0.03627248],12.842383020029592 Mpc,11.336169483531762 Mpc,11.323166450615322 Mpc,13.00682409119033 Mpc
