N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs
11.451418520503754,[-1.00054739  0.80688259],3.8423942527431008,[-0.24327755  0.35809166],20.13669489577247 Mpc,20.151321497768006 Mpc,10.66120687659096 Mpc,10.64194698370118 Mpc
16.510361739019885,[-1.05195636  0.82234764],3.6692867960469875,[-0.12766169  0.25979909],22.401677202733982 Mpc,22.45516626659119 Mpc,10.874417156006581 Mpc,11.233166260573467 Mpc
9.816154143094206,[-0.26713707  5.45759222],5.264430422140132,[-1.71546119  0.19337845],21.245422521287136 Mpc,21.420886216736754 Mpc,12.200889964801542 Mpc,11.528775899009611 Mpc
7.811583866054302,[-0.14155479  0.19684371],5.4265510134495605,[-0.11437619  0.05252265],19.887893362610743 Mpc,20.009720441268218 Mpc,11.781074839598343 Mpc,11.528775899009611 Mpc
8.656907423297541,[-0.13780354  0.22031737],5.303017982254003,[-0.15807615  0.12152762],20.423479967212362 Mpc,20.441628712686857 Mpc,11.934047744714317 Mpc,11.824385537445755 Mpc
10.191326566091849,[-0.71872045  0.30260557],4.715614889402089,[-0.14485588  0.31447623],20.737551084275832 Mpc,20.71899880714714 Mpc,12.354389612492215 Mpc,12.415604814318042 Mpc
3.921959300319815,[-0.10305957  0.10685924],7.068907197559751,[-0.23564572  0.21919176],17.263131296131853 Mpc,17.259854446612703 Mpc,12.71706307406185 Mpc,12.711214452754186 Mpc
13.411023014227567,[-0.37896578  0.55014526],4.677899985582037,[-0.13039824  0.18305561],22.664113307284254 Mpc,22.672338967063524 Mpc,12.85145634630429 Mpc,13.00682409119033 Mpc
