N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs,y_calc (*1e-6),y (*1e-6)
0.9633177732485448,[-0.03403956  0.11363029],9.58333835342499,[-0.96905429  0.20676246],11.96547428281365 Mpc,11.792254802397572 Mpc,10.525950672475197 Mpc,10.64194698370118 Mpc,2.545759111673536,2.508905155017428
1.3465450188877204,[-0.0635537   0.05290719],9.076337277893163,[-0.39705458  0.38233789],13.138474846188656 Mpc,13.14043063007929 Mpc,11.23852451222416 Mpc,11.233166260573467 Mpc,2.7953252217690836,2.7957413318657127
1.1747182245965702,[-0.03069814  0.0369179 ],9.600100643935281,[-0.08253265  0.14618728],12.790993656368062 Mpc,12.53518526757188 Mpc,11.245601978790942 Mpc,11.528775899009611 Mpc,2.72139556514097,2.666970097229866
1.0542469088436086,[-0.02804761  0.03279676],9.550813719854837,[-0.04098572  0.08603964],12.316728161361835 Mpc,11.709391961927325 Mpc,10.84723173193447 Mpc,11.528775899009611 Mpc,2.620491440763833,2.491275362318841
1.1324368552762865,[-0.0305841   0.04228076],9.542372358166913,[-0.03727133  0.08229613],12.610275385385192 Mpc,11.962138283720455 Mpc,11.109029953971193 Mpc,11.824385537445755 Mpc,2.6829461753277024,2.54504934874335
1.2402749645436728,[-0.03171861  0.04250474],9.53112751880851,[-0.02667021  0.06170183],12.993371982109906 Mpc,12.12445115381203 Mpc,11.451018910761974 Mpc,12.415604814318042 Mpc,2.764453320695427,2.5795828288387455
0.9786887376940854,[-0.02651611  0.03546174],9.515406609584018,[-0.0126001   0.03071932],12.000290698907165 Mpc,10.100211120610398 Mpc,10.58164050569228 Mpc,12.711214452754186 Mpc,2.55316660814304,2.1489080902586686
1.4855254794510306,[-0.02152949  0.0132807 ],9.549820480307245,[-0.04307669  0.08761735],13.807855187831201 Mpc,13.26751687702236 Mpc,12.160875467490207 Mpc,13.00682409119033 Mpc,2.9377417331111597,2.822780040359567
