N_tilde,t_Q,root
0.1,0.1,0.0014853230188977059
0.1,1.1090909090909091,0.44828011810269175
0.1,2.118181818181818,1.2005181393927238
0.1,3.1272727272727274,2.0333969123541618
0.1,4.136363636363636,2.904445842854833
0.1,5.145454545454545,3.798282521481327
0.1,6.154545454545454,4.7074740989567045
0.1,7.163636363636363,5.627815431341045
0.1,8.172727272727272,6.556675750064841
0.1,9.181818181818182,7.492289807677322
0.1,10.19090909090909,8.433410266333704
0.1,11.2,9.379119978327516
0.1,12.209090909090909,10.328722946176052
0.1,13.218181818181817,11.281677256902539
0.1,14.227272727272727,12.237551885019354
0.1,15.236363636363635,13.195997790401007
0.1,16.245454545454546,14.156727953107973
0.1,17.254545454545454,15.119503201546493
0.1,18.263636363636365,16.08412191427076
0.1,19.272727272727273,17.0504123822012
0.1,20.28181818181818,18.018227041323033
0.1,21.290909090909093,18.987438047924442
0.1,22.3,19.9579338352922
0.1,23.30909090909091,20.929616399774645
0.1,24.31818181818182,21.902399136937383
0.1,25.327272727272728,22.876205098182584
0.1,26.336363636363636,23.850965572694694
0.1,27.345454545454544,24.826618923883395
0.1,28.354545454545455,25.803109626978475
0.1,29.363636363636363,26.780387467093114
0.1,30.37272727272727,27.758406866416927
0.1,31.381818181818183,28.737126316154903
0.1,32.39090909090909,29.716507894066986
0.1,33.4,30.696516852448738
0.1,34.40909090909091,31.67712126445397
0.1,35.418181818181814,32.658291719031695
0.1,36.42727272727273,33.64000105660224
0.1,37.43636363636364,34.62222413905524
0.1,38.445454545454545,35.604937648809184
0.1,39.45454545454545,36.588119912594216
0.1,40.46363636363636,37.57175074636262
0.1,41.47272727272727,38.555811318330335
0.1,42.481818181818184,39.54028402764058
0.1,43.49090909090909,40.5251523965391
0.1,44.5,41.510400974277815
0.1,45.50909090909091,42.49601525123445
0.1,46.518181818181816,43.48198158195945
0.1,47.527272727272724,44.46828711604885
0.1,48.53636363636364,45.4549197358979
0.1,49.54545454545455,46.441868000521815
0.1,50.554545454545455,47.42912109474067
0.1,51.56363636363636,48.41666878311946
0.1,52.57272727272727,49.40450136813402
0.1,53.58181818181818,50.392609652101314
0.1,54.590909090909086,51.38098490247088
0.1,55.6,52.369618820124096
0.1,56.60909090909091,53.358503510370554
0.1,57.61818181818182,54.34763145636825
0.1,58.627272727272725,55.33699549472604
0.1,59.63636363636363,56.326588793074606
0.1,60.64545454545454,57.31640482941662
0.1,61.654545454545456,58.306437373087725
0.1,62.663636363636364,59.29668046717804
0.1,63.67272727272727,60.28712841228086
0.1,64.68181818181817,61.27777575144854
0.1,65.69090909090909,62.2686172562487
0.1,66.69999999999999,63.25964791382435
0.1,67.7090909090909,64.25086291487176
0.1,68.7181818181818,65.24225764245811
0.1,69.72727272727272,66.23382766160903
0.1,70.73636363636362,67.22556870960207
0.1,71.74545454545454,68.21747668690988
0.1,72.75454545454545,69.20954764873969
0.1,73.76363636363635,70.20177779712346
0.1,74.77272727272727,71.19416347351479
0.1,75.78181818181817,72.18670115185442
0.1,76.79090909090908,73.17938743206825
0.1,77.8,74.17221903396589
0.1,78.8090909090909,75.16519279151032
0.1,79.81818181818181,76.1583056474312
0.1,80.82727272727271,77.1515546481574
0.1,81.83636363636363,78.14493693904616
0.1,82.84545454545453,79.13844975988772
0.1,83.85454545454544,80.13209044066687
0.1,84.86363636363636,81.12585639756323
0.1,85.87272727272726,82.11974512917463
0.1,86.88181818181818,83.11375421294845
0.1,87.89090909090908,84.10788130180698
0.1,88.89999999999999,85.10212412095474
0.1,89.90909090909089,86.09648046485513
0.1,90.91818181818181,87.09094819436669
0.1,91.92727272727272,88.0855252340277
0.1,92.93636363636362,89.08020956948081
0.1,93.94545454545454,90.07499924502882
