N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs
99.95915822972063,[-0.06107193  0.02931198],5.499540032068154,[-0.00210031  0.00106233],46.725157290855954 Mpc,50.37830374442001 Mpc,14.796706296362032 Mpc,10.64194698370118 Mpc
99.97996883039207,[-0.0324499   0.01466301],6.500097775370691,[-0.00140676  0.00065261],49.4058923992177 Mpc,56.13791566647797 Mpc,17.51178117379996 Mpc,11.233166260573467 Mpc
99.96222961983901,[-0.06037473  0.02747161],6.499170616588738,[-0.99840864  0.00136186],49.40062121615619 Mpc,53.55221554184188 Mpc,17.510745421168064 Mpc,11.528775899009611 Mpc
99.95754807257364,[-0.06159561  0.03021222],5.499424383213615,[-0.00235322  0.00113797],46.72457887866324 Mpc,50.02430110317054 Mpc,14.796626846745662 Mpc,11.528775899009611 Mpc
99.97177531281116,[-0.05678422  0.02051914],5.500074796945787,[-0.00166302  0.00079874],46.72863763165932 Mpc,51.10407178171714 Mpc,14.797328828676868 Mpc,11.824385537445755 Mpc
99.91065364001807,[-0.14763082  0.06942657],6.498033407537433,[-0.9973506   0.00215922],49.38924258812884 Mpc,51.797497017867855 Mpc,17.507733319411084 Mpc,12.415604814318042 Mpc
98.24312542936356,[-1.55062057  1.15868917],4.409617156117753,[-0.06670468  0.06044777],43.15874472169052 Mpc,43.14963611653176 Mpc,11.988131211135261 Mpc,12.711214452754186 Mpc
99.9782602037668,[-0.04280434  0.01569588],6.5007736728145336,[-0.00114562  0.99928095],49.40732333672473 Mpc,56.6808474176588 Mpc,17.51168141626396 Mpc,13.00682409119033 Mpc
