ra,dec,radius_x,amp_x,amp_y,radius_y
8.175,4.8,36.0,-6.0,6.8019,36.0
5.683333,5.883333,38.0,-6.0,7.922924,38.0
7.033333,5.708333,39.0,-6.0,7.208818,39.0
7.158333,6.5,39.0,-6.0,6.63743,39.0
7.125,5.1,40.0,-6.0,7.02042,40.0
2.9,2.541667,42.0,-6.0,8.004928,42.0
1.708333,2.716667,44.0,-6.0,6.78824,44.0
