ra,dec,radius_x,amp_x,amp_y,radius_y
8.175,4.8,36.0,-6.0,6.9174,36.0
5.683333,5.883333,38.0,-6.0,7.827217,38.0
7.033333,5.708333,39.0,-6.0,6.634341,39.0
7.158333,6.5,39.0,-6.0,6.71709,39.0
7.125,5.1,40.0,-6.0,6.977253,40.0
2.9,2.541667,42.0,-6.0,7.149735,42.0
1.708333,2.716667,44.0,-6.0,7.18364,44.0
