N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs
8.36610357166768,[-0.88311729  0.0994957 ],3.6102017171637897,[-0.0700069   0.31307713],17.76312428427234 Mpc,17.68838220359636 Mpc,10.276377189655559 Mpc,10.64194698370118 Mpc
7.575051747808137,[-0.05351999  0.09171182],5.389281033126625,[-0.09648237  0.07201817],19.639929799246467 Mpc,19.710645945118934 Mpc,11.660945071159988 Mpc,11.233166260573467 Mpc
6.893292851747484,[-0.24585063  0.6077359 ],5.1901929165868115,[-0.35043957  0.19894992],18.794806666351924 Mpc,18.802777901357818 Mpc,11.565806864596857 Mpc,11.528775899009611 Mpc
6.248195582998896,[-0.19569946  0.16722416],4.687106945829124,[-0.12198095  0.17808032],17.581433359748313 Mpc,17.56408794289099 Mpc,11.483280286394342 Mpc,11.528775899009611 Mpc
6.478818674821545,[-0.13457511  0.53086046],4.759253748086753,[-0.21561207  0.19311641],17.885977552585853 Mpc,17.94320742558068 Mpc,11.62286076532816 Mpc,11.824385537445755 Mpc
5.351009821825231,[-0.23625235  0.31989403],6.035041568392936,[-0.33354517  0.29970077],18.16378938004708 Mpc,18.186676730718045 Mpc,12.560899951336793 Mpc,12.415604814318042 Mpc
2.073233616731195,[-0.17533966  0.13244259],9.195801841946482,[-0.59268423  0.64176228],15.237500568522089 Mpc,15.150316680915598 Mpc,12.431938876017268 Mpc,12.711214452754186 Mpc
6.892148815471086,[-0.21025661  0.2561939 ],6.161130246392991,[-0.26295397  0.20555082],19.899376303169188 Mpc,19.90127531553354 Mpc,13.029350653112314 Mpc,13.00682409119033 Mpc
