N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs
31.53921424405438,[-0.9433809  1.1351599],4.3900259085214985,[-0.18011882  0.08431706],29.508044988076442 Mpc,29.48063700599393 Mpc,11.430164227350803 Mpc,10.64194698370118 Mpc
44.97318599236316,[-2.02965662  4.02229148],4.238547256979155,[-0.34765287  0.19696284],32.826507611391506 Mpc,32.85107657519823 Mpc,11.68017728675617 Mpc,11.233166260573467 Mpc
40.900547108637234,[-2.90318947  3.93027591],4.052520323111749,[-0.35478754  0.31116326],31.33183944089747 Mpc,31.3379631689297 Mpc,11.624020095848037 Mpc,11.528775899009611 Mpc
34.098454372694846,[-2.76190975  2.88666252],3.9677174068793315,[-0.31569643  0.35234974],29.2814735472423 Mpc,29.273479904818313 Mpc,11.535255419882898 Mpc,11.528775899009611 Mpc
38.05976501456717,[-3.32116605  2.27372576],3.791105566050687,[-0.21534129  0.36039645],29.916568641666583 Mpc,29.905345709301134 Mpc,11.596901220829 Mpc,11.824385537445755 Mpc
41.43108340945491,[-2.12542063  1.23356115],3.6228243708669656,[-0.09296427  0.20649244],30.3127713027648 Mpc,30.311127884530073 Mpc,11.674064173461447 Mpc,12.415604814318042 Mpc
15.935657270609035,[-0.29772189  0.74320513],5.3903872455048285,[-0.20727959  0.08160913],25.166979864639075 Mpc,25.250527801525998 Mpc,13.025190531170967 Mpc,12.711214452754186 Mpc
35.74405399753612,[-0.20723983  0.92924088],5.438858549549787,[-0.1101527   0.04528393],33.04240448398887 Mpc,33.1687921925559 Mpc,14.025373436353355 Mpc,13.00682409119033 Mpc
