N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs
0.49572897893358525,[-0.00806308  0.0045347 ],9.553763156858675,[-0.04796218  0.09361721],9.578717801541302 Mpc,8.84419110179818 Mpc,9.59599774805866 Mpc,10.64194698370118 Mpc
0.7801981243819094,[-0.02316725  0.03026288],9.525097107813526,[-0.02130555  0.05028522],11.130787475656696 Mpc,9.855322972559467 Mpc,9.811598618532878 Mpc,11.233166260573467 Mpc
0.5000115338738218,[-0.00169657  0.0008523 ],9.619656495737349,[-0.08802789  0.15761171],9.628256428398657 Mpc,9.401388950678909 Mpc,9.623551521936784 Mpc,11.528775899009611 Mpc
0.49905682436024335,[-0.00314837  0.0014384 ],9.544295426846286,[-0.03777482  0.0830544 ],9.596931836706487 Mpc,8.782043971445495 Mpc,9.617422629990536 Mpc,11.528775899009611 Mpc
0.4997702838260384,[-0.00220153  0.00107251],9.558454529333863,[-0.05023983  0.10283545],9.606248611451468 Mpc,8.97160371279034 Mpc,9.622003520472363 Mpc,11.824385537445755 Mpc
0.5001306488019954,[-0.00156152  0.00075742],9.573452731579238,[-0.06202653  0.11751514],9.61357993430259 Mpc,9.093338365359022 Mpc,9.624315649399511 Mpc,12.415604814318042 Mpc
0.49922423879714356,[-0.00336212  0.0015707 ],9.52040747254723,[-0.01711096  0.03876872],9.58999070086124 Mpc,7.575158340457799 Mpc,9.618497935317992 Mpc,12.711214452754186 Mpc
0.9945120971880445,[-0.02666763  0.03516357],9.513699586859172,[-0.01114286  0.02699837],12.063897002074377 Mpc,9.95063765776677 Mpc,10.638363596653056 Mpc,13.00682409119033 Mpc
