N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs
46.55926395525426,[-1.0370326   2.08145915],4.390203881015574,[-0.19683472  0.08373426],33.59938935796253 Mpc,33.585535829613335 Mpc,11.667574459780745 Mpc,10.64194698370118 Mpc
66.6871540378022,[-3.03327841  5.95946292],4.231973625297426,[-0.34493844  0.19917192],37.41359994242571 Mpc,37.42527711098532 Mpc,11.83840945145418 Mpc,11.233166260573467 Mpc
59.37613439988936,[-3.6670461   5.95980901],4.1315835104712715,[-0.37781124  0.26660069],35.70622504515291 Mpc,35.70147702789459 Mpc,11.83204812414122 Mpc,11.528775899009611 Mpc
48.84371364501266,[-3.23009397  4.85712012],4.087775547847176,[-0.36622546  0.29558664],33.33749974357647 Mpc,33.34953406878036 Mpc,11.712001955063245 Mpc,11.528775899009611 Mpc
54.20455269764183,[-4.65875332  4.48969241],3.9345120650663272,[-0.30447539  0.36724456],34.07820162864636 Mpc,34.06938118781142 Mpc,11.783993631899772 Mpc,11.824385537445755 Mpc
59.82260287959275,[-4.63553459  2.63238918],3.714630059927971,[-0.16093503  0.31618853],34.5484109951882 Mpc,34.531664678578565 Mpc,11.802246062952928 Mpc,12.415604814318042 Mpc
23.572967127565217,[-0.62687766  0.19550997],5.422625896648771,[-0.09015063  0.05641467],28.73265451217875 Mpc,28.76642407768784 Mpc,13.520477692640108 Mpc,12.711214452754186 Mpc
79.44900727618592,[-5.06130323  2.85494102],3.6558763625469055,[-0.11295451  0.25635812],37.77412771839401 Mpc,37.78723161177253 Mpc,11.93679060252886 Mpc,13.00682409119033 Mpc
