N_tilde,N_tilde_err,t_tilde,t_tilde_err,R_L_calc,R_L_obs,R_T_calc,R_T_obs
1.874493467052855,[-0.28459982  0.4308181 ],6.9752607204358075,[-1.23582044  1.15936452],13.43742061376926 Mpc,13.434214331845336 Mpc,10.63366255809404 Mpc,10.64194698370118 Mpc
3.093014584381301,[-0.53143262  0.12234455],5.887617806834067,[-0.25546744  1.13551506],15.006346794040168 Mpc,14.970110844394128 Mpc,11.13552035875655 Mpc,11.233166260573467 Mpc
1.9736372930235904,[-0.27210219  0.37502298],7.93620745958843,[-1.203266    1.18273932],14.271224488073118 Mpc,14.280590811157836 Mpc,11.556909832294965 Mpc,11.528775899009611 Mpc
1.418831570173304,[-0.12521717  0.0506314 ],9.075910586508208,[-0.37393234  0.70127745],13.369283622272505 Mpc,13.339813627512143 Mpc,11.43613532290177 Mpc,11.528775899009611 Mpc
1.3908594545763484,[-0.03526079  0.06110804],9.739540196626066,[-0.2203835   0.17055002],13.59695582279724 Mpc,13.62775247512457 Mpc,11.896865593349421 Mpc,11.824385537445755 Mpc
1.4816518907890335,[-0.0205309   0.01304917],9.71006471685544,[-0.13261685  0.15590237],13.872579449168645 Mpc,13.812665871431427 Mpc,12.150296218279577 Mpc,12.415604814318042 Mpc
1.1843491714289753,[-0.03012345  0.0410683 ],9.52164241953845,[-0.0180373   0.04307692],12.790818276523796 Mpc,11.506569631075136 Mpc,11.276250790567133 Mpc,12.711214452754186 Mpc
1.9814325925788767,[-0.04486577  0.0566156 ],9.635234519478585,[-0.11110776  0.17150447],15.244563141377705 Mpc,15.114892644709014 Mpc,12.865377897697261 Mpc,13.00682409119033 Mpc
